Player,Team,Date announced,Drug,Penalty,Position,Response,Ref.
Alex Sánchez,Tampa Bay Devil Rays,4/3/2005,,10 days,OF,[a],[5]
Agustín Montero,Texas Rangers,4/20/2005,,10 days,P,[b],[7]
Jamal Strong,Seattle Mariners,4/26/2005,,10 days,OF,[c],[9]
Juan Rincón,Minnesota Twins,5/2/2005,,10 days,P,[d],[9]
Rafael Betancourt,Cleveland Indians,7/8/2005,,10 days,P,[e],[12]
Rafael Palmeiro,Baltimore Orioles,8/1/2005,Stanozolol,10 days,DH,[f],[14]
Ryan Franklin,Seattle Mariners,8/2/2005,,10 days,P,[g],[16]
Mike Morse,Seattle Mariners,9/7/2005,,10 days,SS,[h],[18]
Carlos Almanzar,Texas Rangers,10/4/2005,,10 days,P,[i],[20]
Félix Heredia,New York Mets,10/18/2005,,10 days,P,[j],[22]
Matt Lawton,New York Yankees,11/2/2005,,10 days,OF,[k],[24]
Yusaku Iriki,New York Mets,4/28/2006,,50 games,P,[l],[26]
Jason Grimsley,Arizona Diamondbacks,6/12/2006,,50 games,P,[m],[28]
Guillermo Mota,New York Mets,11/1/2006,,50 games,P,[n],[30]
Juan Salas,Tampa Bay Devil Rays,5/7/2007,,50 games,P,[o],[32]
Neifi Pérez,Detroit Tigers,7/6/2007,,25 games,UT,[p],[35]
Neifi Pérez,Detroit Tigers,8/3/2007,,80 games,UT,[p],[36]
Mike Cameron,San Diego Padres,10/31/2007,,25 games,OF,[q],[38]
Dan Serafini,Colorado Rockies,11/27/2007,,50 games,P,[r],[40]
José Guillén,Kansas City Royals,12/6/2007,,15 games,OF,[s],[42]
Jay Gibbons,Baltimore Orioles,12/6/2007,,15 games,OF,[t],[44]
Eliézer Alfonzo,San Francisco Giants,4/30/2008,,50 games,C,[u],[45]
J. C. Romero,Philadelphia Phillies,1/6/2009,,50 games,P,[v],[47]
Manny Ramirez,Los Angeles Dodgers,5/7/2009,,50 games,OF,[w],[49]
Edinson Vólquez,Cincinnati Reds,4/20/2010,,50 games,P,[x],[51]
Manny Ramirez,Tampa Bay Rays,4/8/2011,,100 games,OF,[y],[52]
Eliézer Alfonzo,Colorado Rockies,9/14/2011,,48 games[A],C,,[53]
Guillermo Mota,San Francisco Giants,5/7/2012,,100 games,P,,[54]
Freddy Galvis,Philadelphia Phillies,6/19/2012,Clostebol,50 games,UT,[z],[55]
Marlon Byrd,Free agent,6/25/2012,Tamoxifen,50 games,OF,[aa],[56]
Melky Cabrera,San Francisco Giants,8/15/2012,Testosterone,50 games,OF,[ab],[57]
Bartolo Colón,Oakland Athletics,8/22/2012,Testosterone,50 games,P,[ac],[58]
Yasmani Grandal,San Diego Padres,11/7/2012,Testosterone,50 games,C,[ad],[60]
Carlos Ruiz,Philadelphia Phillies,11/27/2012,,25 games,C,[ae],[61]
Ryan Braun,Milwaukee Brewers,7/22/2013,,Season (65 games),OF,[af],[62]
Nelson Cruz,Texas Rangers,8/5/2013,,50 games,OF,[ag],[63]
Jhonny Peralta,Detroit Tigers,8/5/2013,,50 games,SS,[ah],[64]
Everth Cabrera,San Diego Padres,8/5/2013,,50 games,SS,,[65]
Antonio Bastardo,Philadelphia Phillies,8/5/2013,,50 games,P,[ai],[66]
Francisco Cervelli,New York Yankees,8/5/2013,,50 games,C,[aj],[67]
Alex Rodriguez,New York Yankees,8/5/2013,,2014 season (162 games)^[B],3B,[ak],[70]
Miguel Tejada,Kansas City Royals,8/17/2013,Amphetamine,105 games^,UT,[al],[72]
Troy Patton,Baltimore Orioles,12/20/2013,Amphetamine,25 games,P,[am],[73]
Cameron Maybin,San Diego Padres,7/23/2014,,25 games,OF,[an],[74]
David Rollins,Seattle Mariners,3/27/2015,,80 games,P,,
Ervin Santana,Minnesota Twins,4/3/2015,Stanozolol,80 games,P,[ao],[75]
Jenrry Mejía,New York Mets,4/11/2015,Stanozolol,80 games,P,[ap],[76]
Andrew McKirahan,Atlanta Braves,4/20/2015,Ipamorelin,80 games,P,[aq],[77]
Jenrry Mejía,New York Mets,7/28/2015,"Boldenone, Stanozolol",162 games^,P,,[78]
Cody Stanley,St. Louis Cardinals,9/12/2015,,80 games,C,,[79]
Jenrry Mejía,New York Mets,2/12/2016,Boldenone,Lifetime Ban^,P,,
Abraham Almonte,Cleveland Indians,2/26/2016,Boldenone,80 games,OF,,
Daniel Stumpf,Philadelphia Phillies,4/14/2016,Turinabol,80 games,P,,[80]
Chris Colabello,Toronto Blue Jays,4/22/2016,Turinabol,80 games,1B,[ar],[82]
Dee Gordon,Miami Marlins,4/29/2016,"Clostebol, Testosterone",80 games,2B,,[83]
Josh Ravin,Los Angeles Dodgers,5/2/2016,Pralmorelin,80 games,P,,[84]
Raul A. Mondesi,Kansas City Royals,5/10/2016,,50 games[C],SS,,[85]
Marlon Byrd,Cleveland Indians,6/1/2016,Ipamorelin,162 games^,OF,,[86]
Alec Asher,Philadelphia Phillies,6/16/2016,Turinabol,80 games,P,,[87]
Troy Cate,Seattle Mariners,4/4/2005,,15 games,P,,[88]
Willie Collazo,Los Angeles Angels of Anaheim,4/4/2005,,15 games,P,,[88]
Francisco Córdova,Los Angeles Angels of Anaheim,4/4/2005,,15 games,P,,[88]
Jesús Guzmán,Seattle Mariners,4/4/2005,,15 games,P,,[88]
Clay Hensley,San Diego Padres,4/4/2005,,15 games,P,,[88]
Robert Machado,Texas Rangers,4/4/2005,,15 games,C,,[88]
Damian Moss,Seattle Mariners,4/4/2005,,15 games,P,,[89]
Brian Mallette,Pittsburgh Pirates,4/6/2005,,30 games,P,,[90]
Jon Nunnally,Pittsburgh Pirates,4/6/2005,,15 games,OF,,[90]
Tom Evans,Pittsburgh Pirates,4/6/2005,,15 games,3B,,[90]
Julius Matos,Toronto Blue Jays,4/6/2005,,15 games,UT,,[91]
Ricardo Rodríguez,Atlanta Braves,4/22/2005,,15 games,P,,[92]
Grant Roberts,New York Mets,4/22/2005,,15 games,P,,[93]
Eider Torres,Cleveland Indians,4/22/2005,,15 games,2B,,[92]
Randy Ruiz,Philadelphia Phillies,5/3/2005,,15 games,1B,,[94]
Darnell McDonald,Cleveland Indians,5/6/2005,,15 games,OF,,[92]
Guillermo Rodríguez,San Francisco Giants,5/12/2005,,15 games,C,,[92]
Jonathan Herrera,Colorado Rockies,5/12/2005,,15 games,UT,,[92]
Steve Smyth,Oakland Athletics,5/12/2005,,15 games,OF,,[92]
Jorge Toca,Chicago White Sox,5/12/2005,,15 games,1B,,[92]
Christian Parker,Colorado Rockies,5/12/2005,,15 games,P,,[92]
Luis Ugueto,Kansas City Royals,5/13/2005,,15 games,UT,,[92]
Wilson Delgado,Florida Marlins,5/13/2005,,15 games,SS,,[92]
Ramón A. Castro,Washington Nationals,7/1/2005,,105 games,UT,,[92]
Josh Labandeira,Washington Nationals,7/1/2005,,15 games,SS,,[92]
Matt Whiteside,Toronto Blue Jays,7/15/2005,,15 games,P,,[92]
Randy Ruiz,Philadelphia Phillies,7/22/2005,,30 games,1B,,[95]
Wilson Delgado,Florida Marlins,8/12/2005,,30 games,SS,,[92]
Luis Ugueto,Kansas City Royals,8/16/2005,,30 games,UT,,[92]
Ramón Ramírez,Cincinnati Reds,4/11/2006,,50 games,P,,[92]
Nerio Rodríguez,Pittsburgh Pirates,5/19/2006,,50 games,P,,[92]
Abraham Núñez,San Francisco Giants,5/24/2006,,50 games,OF,,[92]
Yamid Haad,San Francisco Giants,5/31/2006,,50 games,C,,[92]
Daniel McCutchen,New York Yankees,8/8/2006,,50 games,P,,[96]
Francisco Cruceta,Texas Rangers,5/9/2007,,50 games,P,,[97]
Lino Urdaneta,New York Mets,5/16/2007,,50 games,P,,[98]
Ángel Salomé,Milwaukee Brewers,7/24/2007,,50 games,C,,[99]
Ryan Jorgensen,Cincinnati Reds,9/7/2007,,50 games,C,,[100]
Luther Hackman,Texas Rangers,10/30/2007,,50 games,P,,[101]
Jordan Schafer,Atlanta Braves,4/8/2008,,50 games,OF,,[102]
Humberto Cota,Colorado Rockies,5/28/2008,,50 games,C,,[103]
Jorge Sosa,Seattle Mariners,8/21/2008,,50 games,P,,[104]
Runelvys Hernández,Houston Astros,9/6/2008,,50 games,P,,[105]
Henry Owens,Florida Marlins,11/11/2008,,50 games,P,,[106]
Sergio Mitre,New York Yankees[A],1/6/2009,,50 games,P,,[107]
Pablo Ozuna,Philadelphia Phillies,6/11/2009,,50 games,UT,,[108]
Prentice Redman,Los Angeles Dodgers,6/25/2010,,50 games,OF,,[109]
Pedro López,Washington Nationals,7/27/2010,,50 games,SS,,[110]
Prentice Redman,Los Angeles Dodgers,7/27/2010,,100 games,OF,,[110]
Omar Quintanilla,Colorado Rockies,8/11/2010,,50 games,UT,,[111]
Matt Kinney,San Francisco Giants,8/24/2010,,50 games,P,,[112]
Kevin Frandsen,Philadelphia Phillies,5/11/2011,,50 games,3B,,[113]
Daniel McCutchen,Baltimore Orioles,4/6/2013,,50 games,P,,[114]
Jordany Valdespin,New York Mets,8/5/2013,,50 games,OF,[as],[115]
Jesús Montero,Seattle Mariners,8/5/2013,,50 games,C,[at],[116]
Sergio Escalona,Houston Astros,8/5/2013,,50 games,P,[au],[117]
Fernando Martínez,New York Yankees,8/5/2013,,50 games,OF,,[118]
Álex Colomé,Tampa Bay Rays,3/24/2014,,50 games,P,[av],[119]
Arodys Vizcaíno,Atlanta Braves,4/2/2015,,80 games,P,[aw],[120]
Javy Guerra,Chicago White Sox,7/8/2015,,50 games,P,[ax],[121]
César Puello,New York Mets,8/5/2013,,50 games,OF,[ay],[122]
Fautino de los Santos,Free agent,8/5/2013,,50 games,P,,[123]
Jordan Norberto,Free agent,8/5/2013,,50 games,P,,[124]
Ryan Baker,New York Yankees,12/4/2013,,50 games,C,,[125]
Martire Garcia,Texas Rangers,4/10/2014,,50 games,P,,[126]
Ji-man Choi,Seattle Mariners,4/17/2014,,50 games,1B,[az],[127]
Eddie Gamboa,Baltimore Orioles,6/13/2014,,50 games,P,,[128]
Moises Cedeno,New York Yankees,3/19/2015,,72 games,,,[129]
Cody Stanley,Free agent,7/8/2016,,162 games,C,,[130]